id,date,amount,memo,category_name
1,2025-10-11,1380,"マクドナルド","外食費"
2,2025-10-05,440,"セリア","日用品費"
3,2025-10-04,3360,"炭火焼きひもの食堂いの伸","外食費"
4,2025-10-04,6171,"チャーリ","日用品費"
5,2025-09-30,803,"ローソン","外食費"
6,2025-09-28,10590,"ハローズ","食費"
7,2025-09-27,690,"スシロー","外食費"
8,2025-09-20,5956,"マルナカ","食費"
9,2025-09-18,602,"セブンイレブン","外食費"
10,2025-09-16,1740,"マクドナルド","外食費"
11,2025-09-15,4669,"すみれ","外食費"
12,2025-09-15,6144,"コスモス","日用品費"
13,2025-09-14,960,"牧のうどん","イベント特別費"
14,2025-09-14,2042,TRIAL,"イベント特別費"
15,2025-09-14,1500,"プレミアホテル門司港","イベント特別費"
16,2025-09-13,1458,"チロリアン","イベント特別費"
17,2025-09-13,2970,"瓦そばたかせ","イベント特別費"
18,2025-09-07,770,"マクドナルド","外食費"
19,2025-09-07,91000,"お米代","食費"
20,2025-09-06,1800,"3番らーめん","外食費"
21,2025-08-31,9086,"コスモス","日用品費"
22,2025-08-30,960,"マクドナルド","外食費"
23,2025-08-26,12276,"NHK受信料","通信費"
24,2025-08-26,8499,"マルナカ","食費"
25,2025-08-25,10000,"まさき8月分","口座貯蓄"
26,2025-08-25,65000,"まさき8月分","生活費用"
27,2025-08-25,2200,"サイゼリヤ","外食費"
28,2025-08-25,65000,"朱里8月分","生活費用"
29,2025-08-25,10000,"朱里8月分","口座貯蓄"
30,2025-08-15,950,"ロイヤルファームアカマツ","外食費"
31,2025-08-15,4708,"水道_0507-0707","水道光熱費"
32,2025-08-10,9920,"ドン・キホーテ","日用品費"
33,2025-08-10,3191,"イオン","食費"
34,2025-08-10,5910,"ピッツェリアコンウォーレ","外食費"
35,2025-08-03,1245,"ローソン","外食費"
36,2025-08-03,6488,"マルナカ","食費"
37,2025-07-31,10000,"まさき7月分","口座貯蓄"
38,2025-07-31,65000,"まさき7月分","生活費用"
39,2025-07-31,65000,"朱里7月分","生活費用"
40,2025-07-31,10000,"朱里7月分","イベント特別費"
41,2025-07-27,3040,"ゲーブルハウス","外食費"
42,2025-07-26,1580,"バーガーキング","外食費"
43,2025-07-26,7231,"マルナカ","食費"
44,2025-07-23,13484,"コスモス","日用品費"
45,2025-07-22,6024,"ゆめタウン","イベント特別費"
46,2025-07-22,3100,"アクアス","イベント特別費"
47,2025-07-21,1800,"出雲そば","イベント特別費"
48,2025-07-20,330,DAISO,"日用品費"
49,2025-07-19,2000,"はまの","外食費"
50,2025-07-19,1750,"コメダ珈琲","外食費"
51,2025-07-16,2243,"マルヨシ","食費"
52,2025-07-13,10039,"マルナカ","食費"
53,2025-07-13,4081,"はま寿司 (1)","外食費"
54,2025-07-08,2040,"すき家","外食費"
55,2025-07-08,716,"ローソン","外食費"
56,2025-07-06,11000,"四国水族館","雑費"
57,2025-07-01,10080,Harrows,"食費"
58,2025-06-30,65000,"まさき6月分","生活費用"
59,2025-06-30,10000,"まさき6月分","口座貯蓄"
60,2025-06-30,65000,"朱里6月分","生活費用"
61,2025-06-30,10000,"朱里6月分","口座貯蓄"
62,2025-06-29,1150,"ほか弁","外食費"
63,2025-06-29,843,"ファミリマート","外食費"
64,2025-06-28,2850,"りくろーカフェ","イベント特別費"
65,2025-06-28,2130,"りくろーおじさん","イベント特別費"
66,2025-06-25,3421,"はま寿司","外食費"
67,2025-06-22,15459,"ニトリ","雑費"
68,2025-06-21,660,"セリア","日用品費"
69,2025-06-17,7371,"グランデリズ (1)","食費"
70,2025-06-17,11550,"コスモス","日用品費"
71,2025-06-16,4686,"水道_0305-0507","水道光熱費"
72,2025-06-14,3828,"はま寿司 (1)","外食費"
73,2025-06-10,9300,"グランデリズ","食費"
74,2025-06-09,9815,"コスモス","日用品費"
75,2025-06-08,2000,"タオル美術館","雑費"
76,2025-06-07,896,"シャトレーゼ","外食費"
77,2025-06-07,1337,"グランデリズ","食費"
78,2025-06-07,2288,"チャーリー","日用品費"
79,2025-06-06,2799,"ココ壱番屋","外食費"
80,2025-06-01,1386,"はま寿司","外食費"
81,2025-06-01,2442,"はま寿司","外食費"
82,2025-05-31,10000,"真生5月分","口座貯蓄"
83,2025-05-31,65000,"真生5月分","生活費用"
84,2025-05-31,65000,"朱里5月分","生活費用"
85,2025-05-31,10000,"朱里5月分","口座貯蓄"
86,2025-05-30,2931,"ザグザグ","日用品費"
87,2025-05-27,1212,"セブンイレブン","食費"
88,2025-05-27,9311,"グランデリズ","食費"
89,2025-05-24,220,"ダイソー","日用品費"
90,2025-05-20,8753,"グランデリズ","食費"
91,2025-05-17,5970,"よつばウィメンズクリニック","医療費"
92,2025-05-17,1958,"おくどさん","外食費"
93,2025-05-14,2760,"よつばウィメンズクリニック","医療費"
94,2025-05-13,11574,"グランデリズ","食費"
95,2025-05-11,2640,"カーナピーナ","外食費"
96,2025-05-10,440,"Can Do","日用品費"
97,2025-05-10,2260,"よつばウィメンズクリニック","医療費"
98,2025-05-10,250,DCM,"日用品費"
99,2025-05-06,10797,"HALOWS 丸亀店","食費"
100,2025-05-05,1087,"Mister Donutイオンモール綾川ショップ","外食費"
101,2025-05-04,2480,"キッチンオリオン","外食費"
102,2025-05-03,3927,"はま寿司","外食費"
103,2025-05-03,3430,"森のピザロッジ","外食費"
104,2025-05-02,2616,"DEAR原田本店","外食費"
105,2025-05-02,1947,"ニトリ","雑費"
106,2025-05-02,1500,"こだわり麺や林田","外食費"
107,2025-05-01,550,DAISO,"日用品費"
108,2025-04-30,65000,"朱里4月分","生活費用"
109,2025-04-30,10000,"朱里4月分","口座貯蓄"
110,2025-04-30,65000,"真生4月分","生活費用"
111,2025-04-30,10000,"真生4月分","口座貯蓄"
112,2025-04-29,2926,"はま寿司","食費"
113,2025-04-26,13118,"コスモス","日用品費"
114,2025-04-22,12895,"グランデリズ","食費"
115,2025-04-21,1190,"ほっかほっか亭丸亀城東店","外食費"
116,2025-04-20,577,"ザ・ビッグ国分寺店","食費"
117,2025-04-20,1600,"こだわり麺や川津","外食費"
118,2025-04-20,3883,"はま寿司","外食費"
119,2025-04-19,2552,"COCO’S丸亀土器","外食費"
120,2025-04-15,2280,YouTubePremium,"サブスクリプション"
122,2025-04-13,1150,"ほっかほっか亭長尾店","外食費"
123,2025-04-12,1230,"マクドナルド","外食費"
124,2025-04-06,6170,"コスモス","日用品費"
125,2025-04-05,880,"フジグラン","日用品費"
126,2025-03-31,60000,"朱里3月分","生活費用"
127,2025-03-31,10000,"朱里3月分","口座貯蓄"
128,2025-03-31,60000,"真生3月分","生活費用"
129,2025-03-31,10000,"真生3月分","口座貯蓄"
130,2025-03-31,11700,"セトリーニ備前","イベント特別費"
131,2025-03-31,750,"マクドナルド","イベント特別費"
132,2025-03-31,1980,Francfranc,"イベント特別費"
133,2025-03-31,38000,"家賃等","イベント特別費"
134,2025-03-30,1732,"マルナカ穂浪店","イベント特別費"
135,2025-03-30,1402,"ごぱん","イベント特別費"
136,2025-03-30,1200,"カフェラララ@P.おやじの海","イベント特別費"
137,2025-03-29,2761,"おくどさん","外食費"
138,2025-03-26,17414,"四国電力","水道光熱費"
139,2025-03-25,10353,"グランデリズ","食費"
140,2025-03-24,4070,"NTT西日本","通信費"
141,2025-03-23,4335,"ますよね","食費"
142,2025-03-23,2414,"北の商店","外食費"
143,2025-03-22,1540,"スーパーセンター","食費"
144,2025-03-19,3932,"ラ・ムー","食費"
145,2025-03-19,2302,"ジョイフル","外食費"
146,2025-03-16,10452,"コスモス","日用品費"
147,2025-03-16,327,"コーナン","日用品費"
148,2025-03-15,2280,YouTubePremium,"サブスクリプション"
149,2025-03-15,711,"ミスタードーナツ","外食費"
150,2025-03-11,4860,"楽天お買い物マラソン","雑費"
151,2025-03-11,13521,"グランデリズ","食費"
152,2025-03-08,1980,"楽天お買い物マラソン","雑費"
153,2025-03-08,2600,"楽天お買い物マラソン","雑費"
154,2025-03-08,1500,"ほっともっと","外食費"
155,2025-03-01,114,"コスモス","日用品費"
156,2025-02-28,38000,"家賃等","住居費"
